Celsius,Fahrenheit,Humidity
8.3,46.94,40.373490416894
11.7,53.06,29.370312307407
11.7,53.06,30.736702203206
10.6,51.08,33.061975175318
10.0,50.0,37.382540479057
10.0,50.0,40.577771339263
8.9,48.02,45.675073063872
8.3,46.94,47.567077130119
8.9,48.02,45.675073063872
10.0,50.0,44.013192440954
10.0,50.0,42.420892547776
11.1,51.98,37.710875512042
12.2,53.96,36.661559290833
12.8,55.04,31.060373117959
