Celsius,Fahrenheit,Humidity
16.1,60.980000000000004,80.798233627009
15.6,60.08,83.421885156152
15.6,60.08,83.421885156152
15.0,59.0,83.351127453408
15.6,60.08,83.421885156152
14.4,57.92,86.639151568653
15.0,59.0,86.697136399328
18.3,64.94,75.526486555437
21.7,71.06,63.203446818663
23.3,73.94,59.611438312283
25.6,78.08,53.982484750511
26.1,78.98,52.406818718134
27.2,80.96,47.263671578719
27.2,80.96,47.263671578719
27.2,80.96,45.469977975859
26.1,78.98,48.513245772051
24.4,75.92,51.967956826588
23.3,73.94,55.521946436074
21.1,69.98,63.480539479395
20.0,68.0,67.934987286895
18.9,66.02,72.743427315857
18.9,66.02,69.959500486126
18.9,66.02,69.959500486126
18.9,66.02,69.959500486126
17.2,62.959999999999994,75.345564108887
17.8,64.04,74.954456791337
17.8,64.04,74.954456791337
17.2,62.959999999999994,75.345564108887
16.1,60.980000000000004,77.679888272611
16.1,60.980000000000004,80.798233627009
16.1,60.980000000000004,83.480518260067
18.3,64.94,78.012013621432
19.4,66.92,75.705545650997
22.2,71.96,66.224956807917
22.8,73.04,65.927975147145
23.9,75.02,61.692553954216
25.0,77.0,60.008901812122
25.0,77.0,60.008901812122
26.1,78.98,56.214604768443
